alpha,mean_token_len_ratio,sem_token_len_ratio,mean_text_deviation,sem_text_deviation,mean_abs_logit_delta,sem_abs_logit_delta,n
-2.0,1.9210367794555447,0.038841267828117663,0.7084728231422385,0.0015657373167017666,1.2755254799180755,0.010518125566607209,28807
-1.5,1.6994497017454229,0.031871914665184964,0.6525995624610471,0.001726123134534444,1.0119138116386641,0.00963425045319304,28807
-1.0,1.5452997749257913,0.02740938239476786,0.568676796837629,0.0019024525322403377,0.7248962383274898,0.007807377510902083,28807
-0.5,1.3009977903613699,0.020382861606220673,0.419857648584224,0.0020255458259230675,0.38716379156975733,0.004661195409728154,28807
0.5,1.3180710049388815,0.01814687532358122,0.4202531336554772,0.0020386667538042544,0.40316250715971813,0.004934184628037044,28807
1.0,1.5830214460777716,0.026531787300922784,0.5636080376921879,0.001919921677237465,0.7539943904693304,0.00798144981320828,28807
1.5,1.7774678802517532,0.031768901525576314,0.6422004598434158,0.0017567922177640822,1.0692695948467386,0.00956478526052734,28807
2.0,1.8560633090630938,0.0324258866676104,0.6971169770588921,0.0015792797931149123,1.373656603646683,0.010490579276143167,28807
