subset,steerability,dimension,n,mean_severity,max_severity,pct_nonzero
full,UNMEASURABLE,implicit_assumption_injection,1,0.0,0,0.0
full,UNMEASURABLE,neutralization_rephrasing,1,0.0,0,0.0
full,UNMEASURABLE,hedging_escalation,1,0.0,0,0.0
full,UNMEASURABLE,persona_amplification,1,0.0,0,0.0
full,UNMEASURABLE,tonal_rigidity,1,0.0,0,0.0
full,WEAK,factual_drift,8036,0.0057,3,0.32
full,WEAK,monotonic_factual_scaling,8036,0.0,0,0.0
full,WEAK,hallucinated_specificity,8036,0.0324,5,1.47
full,WEAK,factual_reversal,8036,0.0239,5,1.39
full,WEAK,label_content_contradiction,8036,0.0378,5,1.58
full,WEAK,option_label_mismatch,8036,0.0913,5,4.48
full,WEAK,repetition_looping,8036,0.0661,5,1.59
full,WEAK,sensitivity_refusal,8036,0.0647,5,3.17
full,WEAK,logit_text_decoupling,8036,0.0049,5,0.1
full,WEAK,steering_asymmetry,8036,1.3554,5,65.08
full,WEAK,safety_override_resistance,8036,0.2891,5,5.82
full,WEAK,inverse_logit_polarity,8036,0.9068,5,37.89
full,WEAK,token_compression,8036,0.2013,5,8.98
full,WEAK,token_inflation,8036,0.8476,5,34.88
full,WEAK,implicit_assumption_injection,8036,0.0335,5,1.68
full,WEAK,neutralization_rephrasing,8036,0.3161,5,13.9
full,WEAK,hedging_escalation,8036,0.3795,5,15.7
full,WEAK,persona_amplification,8036,0.6231,5,27.48
full,WEAK,tonal_rigidity,8036,0.4978,5,23.39
