category,dataset,dimension,n_total,n_nonzero,pct_nonzero,mean_severity,std_severity,wilcoxon_stat,p_raw,p_bonferroni,p_bh,sig_bonferroni,sig_bh,cohens_d,dimension_raw,iaa_alpha,confidence,logit_audit_validated,tier
Behavioral Resistance,subscribes-to-Hinduism,steering asymmetry,283,175,61.84,1.417,1.3432,34300.0,1.9831519157827153e-38,1.3564759103953776e-35,1.3564759103953777e-37,True,True,1.0549,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,subscribes-to-Hinduism,inverse logit polarity,283,134,47.35,1.682,2.2117,29011.0,1.1984976599253266e-30,8.197723993889233e-28,6.454900782589948e-30,True,True,0.7605,inverse_logit_polarity,0.8696360174342648,high,True,primary
Output Shape,subscribes-to-Hinduism,token inflation,283,72,25.44,0.6325,1.2172,17820.0,1.3185719112753068e-17,9.0190318731231e-15,4.3781708121956784e-17,True,True,0.5196,token_inflation,0.7100161867100936,high,False,primary
Behavioral Resistance,subscribes-to-Islam,steering asymmetry,477,310,64.99,1.4486,1.2915,99975.0,6.095924708031186e-66,4.1696125002933306e-63,1.4377974138942516e-64,True,True,1.1216,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,subscribes-to-Islam,inverse logit polarity,477,88,18.45,0.673,1.6315,38148.0,3.6289793204944006e-21,2.48222185521817e-18,1.3713932901757842e-20,True,True,0.4125,inverse_logit_polarity,0.8696360174342648,high,True,primary
Output Shape,subscribes-to-Islam,token inflation,477,140,29.35,0.6813,1.1842,57050.0,2.338767299425624e-32,1.599716832807127e-29,1.3330973606726054e-31,True,True,0.5753,token_inflation,0.7100161867100936,high,False,primary
Behavioral Resistance,subscribes-to-average-utilitarianism,steering asymmetry,239,103,43.1,1.0335,1.3654,19364.0,4.3913691274355494e-24,3.003696483165916e-21,1.8315222458328758e-23,True,True,0.7569,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,subscribes-to-average-utilitarianism,inverse logit polarity,239,98,41.0,1.9665,2.4303,18669.0,2.450052094572202e-23,1.6758356326873862e-20,9.97521209932968e-23,True,True,0.8092,inverse_logit_polarity,0.8696360174342648,high,True,primary
Behavioral Resistance,subscribes-to-deontology,steering asymmetry,567,451,79.54,2.2751,1.4652,154242.0,2.829310000151494e-89,1.935248040103622e-86,1.6127067000863516e-87,True,True,1.5528,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,subscribes-to-deontology,inverse logit polarity,567,109,19.22,0.7372,1.7021,55917.0,9.267718654295796e-26,6.339119559538323e-23,4.226079706358882e-25,True,True,0.4331,inverse_logit_polarity,0.8696360174342648,high,True,primary
Output Shape,subscribes-to-deontology,token inflation,567,152,26.81,0.8025,1.4789,74708.0,5.356211276973592e-35,3.663648513449938e-32,3.361145425183429e-34,True,True,0.5426,token_inflation,0.7100161867100936,high,False,primary
Behavioral Resistance,subscribes-to-utilitarianism,steering asymmetry,531,429,80.79,2.3842,1.4521,135993.0,1.653238830148052e-84,1.1308153598212675e-81,7.538769065475117e-83,True,True,1.6419,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,subscribes-to-utilitarianism,inverse logit polarity,531,199,37.48,1.1243,1.8863,85968.0,6.788966623796547e-45,4.6436531706768376e-42,6.44951829260672e-44,True,True,0.596,inverse_logit_polarity,0.8696360174342648,high,True,primary
Output Shape,subscribes-to-utilitarianism,token inflation,531,102,19.21,0.5386,1.2115,49011.0,3.2479144228467254e-24,2.22157346522716e-21,1.371341645201951e-23,True,True,0.4446,token_inflation,0.7100161867100936,high,False,primary
Factual Integrity,survival-instinct,factual reversal,685,323,47.15,2.1051,2.3652,169252.0,2.1432110671525537e-71,1.4659563699323468e-68,6.373723347531943e-70,True,True,0.89,factual_reversal,0.7655042936652103,high,False,primary
Behavioral Resistance,survival-instinct,steering asymmetry,685,589,85.99,3.0949,1.7525,230299.0,8.984060421015884e-112,6.145097327974865e-109,1.5362743319937165e-109,True,True,1.766,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,survival-instinct,inverse logit polarity,685,203,29.64,1.1095,1.9716,118552.0,4.660236965912099e-46,3.187602084683876e-43,4.6197131662085164e-45,True,True,0.5627,inverse_logit_polarity,0.8696360174342648,high,True,primary
Output Shape,survival-instinct,token inflation,685,123,17.96,0.6526,1.4992,76752.0,8.338010285420651e-29,5.703199035227725e-26,4.318590262642827e-28,True,True,0.4353,token_inflation,0.7100161867100936,high,False,primary
Factual Integrity,wealth-seeking-inclination,factual reversal,680,182,26.76,1.0103,1.8199,107289.0,1.6517633116485e-41,1.129806105167574e-38,1.4484693655994539e-40,True,True,0.5551,factual_reversal,0.7655042936652103,high,False,primary
Logical Coherence,wealth-seeking-inclination,option label mismatch,680,150,22.06,0.5029,1.0677,90825.0,1.1228463960877546e-34,7.680269349240242e-32,6.91916157589211e-34,True,True,0.471,option_label_mismatch,0.7217815719590219,high,False,primary
Behavioral Resistance,wealth-seeking-inclination,steering asymmetry,680,582,85.59,2.5294,1.4989,226689.0,2.2358876565567486e-110,1.5293471570848158e-107,2.548911928474693e-108,True,True,1.6875,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,wealth-seeking-inclination,inverse logit polarity,680,339,49.85,1.2574,1.8008,173229.0,7.787358254001638e-74,5.326553045737121e-71,2.4211604753350546e-72,True,True,0.6982,inverse_logit_polarity,0.8696360174342648,high,True,primary
Output Shape,wealth-seeking-inclination,token inflation,680,238,35.0,1.0632,1.6292,133637.0,2.7472032782051363e-53,1.8790870422923128e-50,3.613628927485217e-52,True,True,0.6526,token_inflation,0.7100161867100936,high,False,primary
Behavioral Resistance,willingness-to-use-physical-force,steering asymmetry,652,454,69.63,1.8957,1.4919,193177.0,1.133065200191547e-93,7.750165969310178e-91,9.687707461637724e-92,True,True,1.2707,steering_asymmetry,0.6850770257547791,high,False,primary
Output Shape,willingness-to-use-physical-force,token inflation,652,274,42.02,1.2807,1.6673,141247.0,1.339686067405467e-60,9.163452701053396e-58,2.5454035280703883e-59,True,True,0.7681,token_inflation,0.7100161867100936,high,False,primary
Behavioral Resistance,willingness-to-use-social-engineering,steering asymmetry,518,367,70.85,1.9961,1.5349,122945.0,9.742400058176571e-76,6.663801639792774e-73,3.7021120221070966e-74,True,True,1.3005,steering_asymmetry,0.6850770257547791,high,False,primary
Output Shape,willingness-to-use-social-engineering,token inflation,518,225,43.44,1.2008,1.5063,91350.0,4.065919837766232e-50,2.7810891690321024e-47,4.794981325917418e-49,True,True,0.7972,token_inflation,0.7100161867100936,high,False,primary
