category,dataset,dimension,n_total,n_nonzero,pct_nonzero,mean_severity,std_severity,wilcoxon_stat,p_raw,p_bonferroni,p_bh,sig_bonferroni,sig_bh,cohens_d
Behavioral Resistance,self-awareness-general-ai,steering asymmetry,234,220,94.02,2.9145,1.384,27390.0,9.881088506423015e-41,6.758664538393342e-38,7.951370045168637e-40,True,True,2.1059
Behavioral Resistance,self-awareness-general-ai,inverse logit polarity,234,127,54.27,1.0855,1.4972,21717.0,8.397258844027716e-29,5.743725049314959e-26,4.318590262642827e-28,True,True,0.725
Output Shape,self-awareness-general-ai,token compression,234,17,7.26,0.1923,0.7364,3842.0,1.8750694365345053e-05,0.012825474945896,3.485183409210874e-05,True,True,0.2612
Output Shape,self-awareness-general-ai,token inflation,234,107,45.73,1.2436,1.5656,19367.0,8.660658784527011e-25,5.923890608616474e-22,3.77317873160285e-24,True,True,0.7943
Output Shape,self-awareness-general-ai,implicit assumption injection,234,41,17.52,0.4402,1.0678,8774.0,8.031228581700743e-11,5.4933603498833085e-08,1.9975855817757484e-10,True,True,0.4122
Tonal Change,self-awareness-general-ai,neutralization rephrasing,234,11,4.7,0.1026,0.4703,2519.0,0.0004557914839122,0.3117613749960077,0.0007532598448372,False,True,0.2181
Tonal Change,self-awareness-general-ai,hedging escalation,234,11,4.7,0.1111,0.5121,2519.0,0.0004559204324014,0.3118495757626118,0.0007532598448372,False,True,0.217
Tonal Change,self-awareness-general-ai,persona amplification,234,98,41.88,1.1795,1.5647,18179.0,5.679051908498428e-23,3.8844715054129246e-20,2.2716207633993713e-22,True,True,0.7538
Tonal Change,self-awareness-general-ai,tonal rigidity,234,66,28.21,0.6197,1.0668,13299.0,2.7407735940477693e-16,1.8746891383286745e-13,8.719484364319414e-16,True,True,0.5809
Factual Integrity,self-awareness-good-text-model,factual drift,289,47,16.26,0.4844,1.1905,12502.0,3.752426477931032e-12,2.566659710904826e-09,9.94829345311948e-12,True,True,0.4069
Factual Integrity,self-awareness-good-text-model,monotonic factual scaling,289,4,1.38,0.0484,0.4138,1150.0,0.0227507851489935,1.0,0.0309377241096783,False,True,0.1171
Factual Integrity,self-awareness-good-text-model,hallucinated specificity,289,19,6.57,0.2145,0.8634,5320.0,6.5589803215708e-06,0.0044863425399544,1.2676723382313225e-05,True,True,0.2485
Factual Integrity,self-awareness-good-text-model,factual reversal,289,96,33.22,1.1384,1.8224,23184.0,1.0212644267690432e-22,6.985448679100256e-20,4.061307371569916e-22,True,True,0.6247
Logical Coherence,self-awareness-good-text-model,label content contradiction,289,24,8.3,0.2111,0.7686,6660.0,4.843029897010558e-07,0.0003312632449555,9.967735974927165e-07,True,True,0.2746
Logical Coherence,self-awareness-good-text-model,option label mismatch,289,42,14.53,0.3495,0.9605,11277.0,4.7053340519666576e-11,3.2184484915451935e-08,1.1920179598315528e-10,True,True,0.3638
Logical Coherence,self-awareness-good-text-model,repetition looping,289,6,2.08,0.0554,0.413,1719.0,0.0071535566509836,1.0,0.0103670704794106,False,True,0.1341
Behavioral Resistance,self-awareness-good-text-model,sensitivity refusal,289,12,4.15,0.1246,0.696,3402.0,0.0002662265806789,0.1820989811843986,0.0004519078239348,False,True,0.179
Behavioral Resistance,self-awareness-good-text-model,logit text decoupling,289,25,8.65,0.4325,1.408,6925.0,2.866515718791935e-07,0.0001960696751653,6.022503211415459e-07,True,True,0.3072
Behavioral Resistance,self-awareness-good-text-model,steering asymmetry,289,227,78.55,2.1038,1.56,39952.0,3.0818442327691943e-46,2.107981455214129e-43,3.0999727282560716e-45,True,True,1.3486
Behavioral Resistance,self-awareness-good-text-model,inverse logit polarity,289,106,36.68,1.3356,2.087,25069.0,6.885511662807928e-25,4.709689977360624e-22,3.0385096628133052e-24,True,True,0.64
Output Shape,self-awareness-good-text-model,token compression,289,47,16.26,0.4429,1.1232,12502.0,3.743628257353645e-12,2.560641728029893e-09,9.94829345311948e-12,True,True,0.3943
Output Shape,self-awareness-good-text-model,token inflation,289,82,28.37,0.7197,1.2968,20377.0,9.223558692565936e-20,6.3089141457151e-17,3.3737508800615508e-19,True,True,0.555
Output Shape,self-awareness-good-text-model,implicit assumption injection,289,10,3.46,0.1107,0.6521,2845.0,0.0007830818871432,0.5356280108059772,0.0012531774548472,False,True,0.1698
Tonal Change,self-awareness-good-text-model,neutralization rephrasing,289,21,7.27,0.1557,0.5892,5859.0,2.3008164985033027e-06,0.0015737584849762,4.597932936763129e-06,True,True,0.2643
Tonal Change,self-awareness-good-text-model,hedging escalation,289,24,8.3,0.1869,0.6716,6660.0,4.832546858054506e-07,0.0003305462050909,9.967735974927165e-07,True,True,0.2782
Tonal Change,self-awareness-good-text-model,persona amplification,289,54,18.69,0.4844,1.152,14175.0,1.0879935029776817e-13,7.441875560367341e-11,3.166755557603125e-13,True,True,0.4205
Tonal Change,self-awareness-good-text-model,tonal rigidity,289,28,9.69,0.2318,0.7761,7714.0,6.117565122612337e-08,4.1844145438668387e-05,1.3326160967728784e-07,True,True,0.2987
Factual Integrity,self-awareness-web-gpt,factual drift,299,187,62.54,2.4348,1.9844,38522.0,8.32322951314092e-41,5.69308898698839e-38,6.859143357817336e-40,True,True,1.227
Factual Integrity,self-awareness-web-gpt,monotonic factual scaling,299,71,23.75,0.8161,1.5467,18744.0,2.1780896779663696e-17,1.4898133397289972e-14,7.1282934915263e-17,True,True,0.5276
Factual Integrity,self-awareness-web-gpt,hallucinated specificity,299,209,69.9,3.1773,2.1933,40755.0,4.859106050167136e-45,3.323628538314322e-42,4.681166955372283e-44,True,True,1.4486
Factual Integrity,self-awareness-web-gpt,factual reversal,299,259,86.62,4.2007,1.7184,44030.0,9.342332428812295e-56,6.390155381307611e-53,1.3312823711057524e-54,True,True,2.4445
Logical Coherence,self-awareness-web-gpt,label content contradiction,299,51,17.06,0.7659,1.7278,13974.0,4.85631832682941e-13,3.3217217355513165e-10,1.361361367029228e-12,True,True,0.4433
Logical Coherence,self-awareness-web-gpt,option label mismatch,299,18,6.02,0.2207,0.9294,5229.0,1.107511994418676e-05,0.0075753820418237,2.0928820450319954e-05,True,True,0.2375
Logical Coherence,self-awareness-web-gpt,repetition looping,299,276,92.31,4.4013,1.4116,44574.0,1.1686912428757524e-57,7.993848101270147e-55,1.9497190490902796e-56,True,True,3.1179
Behavioral Resistance,self-awareness-web-gpt,sensitivity refusal,299,19,6.35,0.2742,1.0953,5510.0,6.5497825242311274e-06,0.004480051246574,1.2676723382313225e-05,True,True,0.2504
Behavioral Resistance,self-awareness-web-gpt,steering asymmetry,299,294,98.33,4.3144,1.0751,44835.0,6.783605232167809e-55,4.639985978802781e-52,9.279971957605561e-54,True,True,4.013
Behavioral Resistance,self-awareness-web-gpt,inverse logit polarity,299,77,25.75,0.3445,0.7498,20097.0,9.563241872895381e-19,6.541257441060439e-16,3.35449099541561e-18,True,True,0.4595
Output Shape,self-awareness-web-gpt,token compression,299,19,6.35,0.204,0.8446,5510.0,6.556823378269882e-06,0.0044848671907365,1.2676723382313225e-05,True,True,0.2416
Output Shape,self-awareness-web-gpt,token inflation,299,297,99.33,4.8194,0.6509,44847.0,3.3223081557356774e-62,2.2724587785232034e-59,6.683702289774127e-61,True,True,7.4044
Output Shape,self-awareness-web-gpt,implicit assumption injection,299,138,46.15,2.1171,2.3637,31809.0,1.0816077491872436e-31,7.398197004440746e-29,6.014794312553451e-31,True,True,0.8957
Tonal Change,self-awareness-web-gpt,neutralization rephrasing,299,5,1.67,0.0435,0.3399,1485.0,0.0126742819413205,1.0,0.0179121506379432,False,True,0.1279
Tonal Change,self-awareness-web-gpt,hedging escalation,299,21,7.02,0.2609,0.9927,6069.0,2.305688592558119e-06,0.0015770909973097,4.597932936763129e-06,True,True,0.2628
Tonal Change,self-awareness-web-gpt,persona amplification,299,8,2.68,0.0769,0.5091,2364.0,0.0023393334811825,1.0,0.0036120306605397,False,True,0.1511
