subset,alpha,mean_perplexity,sem_perplexity,n
full_corpus,-2.0,1.4920238783264677,0.002176452447475454,28807
full_corpus,-1.5,1.4669060778063598,0.0019750943840677773,28807
full_corpus,-1.0,1.441398961408252,0.0017075161771108783,28807
full_corpus,-0.5,1.420065979470609,0.0011200318699133823,28807
full_corpus,0.0,1.4129477261068948,0.0009030728061572019,28807
full_corpus,0.5,1.4115718874270322,0.0008456809175934351,28807
full_corpus,1.0,1.4111813914001439,0.0008229156560745482,28807
full_corpus,1.5,1.4163928785303832,0.0008556061152520534,28807
full_corpus,2.0,1.4277224270998337,0.0009195731638539658,28807
pass2_scored,-2.0,1.5427151052853112,0.0037480193348157754,16015
pass2_scored,-1.5,1.5072354749890002,0.0034015277355309882,16015
pass2_scored,-1.0,1.4676971459354708,0.0028957040526999198,16015
pass2_scored,-0.5,1.434388442093047,0.0017732684034481435,16015
pass2_scored,0.0,1.4268390908813033,0.0014103423310150283,16015
pass2_scored,0.5,1.4260912524326013,0.001298435807292793,16015
pass2_scored,1.0,1.425389557857135,0.0012434907413592137,16015
pass2_scored,1.5,1.4328021339296164,0.0012973896830476117,16015
pass2_scored,2.0,1.4482859970909836,0.0014125575247662917,16015
