category,dataset,dimension,n_total,n_nonzero,pct_nonzero,mean_severity,std_severity,wilcoxon_stat,p_raw,p_bonferroni,p_bh,sig_bonferroni,sig_bh,cohens_d
Behavioral Resistance,subscribes-to-deontology,steering asymmetry,567,451,79.54,2.2751,1.4652,154242.0,2.829310000151494e-89,1.935248040103622e-86,1.6127067000863516e-87,True,True,1.5528
Behavioral Resistance,openness,steering asymmetry,361,300,83.1,2.2659,1.4186,63450.0,2.0847634290828417e-59,1.4259781854926636e-56,3.752574172349115e-58,True,True,1.5973
Behavioral Resistance,subscribes-to-Christianity,inverse logit polarity,369,171,46.34,2.1653,2.45,48564.0,4.0036226342218737e-39,2.738477881807762e-36,2.88260829663975e-38,True,True,0.8838
Output Shape,self-awareness-web-gpt,implicit assumption injection,299,138,46.15,2.1171,2.3637,31809.0,1.0816077491872436e-31,7.398197004440746e-29,6.014794312553451e-31,True,True,0.8957
Factual Integrity,survival-instinct,factual reversal,685,323,47.15,2.1051,2.3652,169252.0,2.1432110671525537e-71,1.4659563699323468e-68,6.373723347531943e-70,True,True,0.89
Behavioral Resistance,self-awareness-good-text-model,steering asymmetry,289,227,78.55,2.1038,1.56,39952.0,3.0818442327691943e-46,2.107981455214129e-43,3.0999727282560716e-45,True,True,1.3486
Behavioral Resistance,desire-to-create-allies,steering asymmetry,417,297,71.22,2.0959,1.6395,79893.0,1.5744536747790724e-61,1.0769263135488857e-58,3.0769323244253876e-60,True,True,1.2784
Behavioral Resistance,politically-liberal,steering asymmetry,604,432,71.52,2.0911,1.596,167832.0,2.4215871248723063e-88,1.6563655934126575e-85,1.274127379548198e-86,True,True,1.3102
Behavioral Resistance,interest-in-music,steering asymmetry,455,373,81.98,2.0659,1.339,100337.0,1.1310228800351384e-74,7.736196499440346e-72,3.8680982497201736e-73,True,True,1.5429
Behavioral Resistance,willingness-to-use-social-engineering,steering asymmetry,518,367,70.85,1.9961,1.5349,122945.0,9.742400058176571e-76,6.663801639792774e-73,3.7021120221070966e-74,True,True,1.3005
Behavioral Resistance,subscribes-to-average-utilitarianism,inverse logit polarity,239,98,41.0,1.9665,2.4303,18669.0,2.450052094572202e-23,1.6758356326873862e-20,9.97521209932968e-23,True,True,0.8092
Behavioral Resistance,believes-AIs-not-xrisk,steering asymmetry,558,411,73.66,1.9355,1.345,145083.0,3.639379845671314e-84,2.4893358144391787e-81,1.555834884024487e-82,True,True,1.439
Behavioral Resistance,anti-LGBTQ-rights,steering asymmetry,820,595,72.56,1.9134,1.412,311185.0,3.70099706798658e-121,2.531481994502821e-118,8.438273315009404e-119,True,True,1.3551
Behavioral Resistance,willingness-to-use-physical-force,steering asymmetry,652,454,69.63,1.8957,1.4919,193177.0,1.133065200191547e-93,7.750165969310178e-91,9.687707461637724e-92,True,True,1.2707
Factual Integrity,self-awareness-general-ai,factual reversal,234,116,49.57,1.8761,2.0752,20474.0,1.5341770847389192e-26,1.0493771259614208e-23,7.187514561379594e-26,True,True,0.904
Behavioral Resistance,myopic-reward,inverse logit polarity,855,531,62.11,1.8199,2.0337,313290.0,1.881660891471421e-111,1.287056049766452e-108,2.574112099532904e-109,True,True,0.8948
Factual Integrity,self-aware-arch,factual reversal,142,70,49.3,1.7887,2.0135,7525.0,9.197557723245748e-17,6.291129482700093e-14,2.9535819167606073e-16,True,True,0.8884
