dimension,perplexity_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
factual_drift,max_abs_ppl_delta,0.3594910253010372,0.0,0.17131486332064194,9.6950432670235e-106,16015
factual_drift,mean_steered_ppl,0.2475010661657472,3.9973741653098606e-222,0.026328328830275805,0.00086169228535923,16015
factual_drift,baseline_ppl,-0.02240670219636795,0.004572373711510151,-0.04063407404125181,2.6897714606896e-07,16015
monotonic_factual_scaling,max_abs_ppl_delta,0.2798768408357538,5.270093954149292e-286,0.10037178944189727,3.863520093909819e-37,16015
monotonic_factual_scaling,mean_steered_ppl,0.20573970785870574,1.2444904015061302e-152,0.05694084548186172,5.547144684390855e-13,16015
monotonic_factual_scaling,baseline_ppl,0.0052448114247761884,0.5068915173442751,0.008505018306866768,0.2818160023644751,16015
hallucinated_specificity,max_abs_ppl_delta,0.44703839673617685,0.0,0.1569354516099995,7.801260013506974e-89,16015
hallucinated_specificity,mean_steered_ppl,0.3470385305492541,0.0,0.08119760992970501,7.674184600160999e-25,16015
hallucinated_specificity,baseline_ppl,0.012502541628693038,0.11361766141097585,0.012124065962307811,0.1249701675047545,16015
factual_reversal,max_abs_ppl_delta,0.30321026355606984,0.0,0.30455177118196936,0.0,16015
factual_reversal,mean_steered_ppl,0.21500869904421752,7.70764743780476e-167,0.12788839558120413,2.2399982153890975e-59,16015
factual_reversal,baseline_ppl,0.015171328034832343,0.054870780756662116,-0.0026607463491464226,0.7363484999050189,16015
label_content_contradiction,max_abs_ppl_delta,0.15854067817613604,1.2076871542698003e-90,0.17450889208797932,1.0456480471190042e-109,16015
label_content_contradiction,mean_steered_ppl,0.10368039887952522,1.587881804199283e-39,0.06148588578159651,6.81731339143357e-15,16015
label_content_contradiction,baseline_ppl,-0.01966154958256141,0.012838321837540759,-0.03169100134857845,6.0410183816329887e-05,16015
option_label_mismatch,max_abs_ppl_delta,0.08069523295891867,1.4871234283444972e-24,0.21391450749255586,3.9786267356724017e-165,16015
option_label_mismatch,mean_steered_ppl,0.042251960483505366,8.845470693069054e-08,0.06087955535517142,1.249508121987562e-14,16015
option_label_mismatch,baseline_ppl,-0.04416953859998822,2.2451434166802456e-08,-0.06721031700591389,1.6737445306012407e-17,16015
repetition_looping,max_abs_ppl_delta,0.5201864489761568,0.0,0.24560068126674958,1.1868990161277783e-218,16015
repetition_looping,mean_steered_ppl,0.40154588738789826,0.0,0.14618307991125865,3.3311086635769163e-77,16015
repetition_looping,baseline_ppl,0.09749301626793769,3.9780924356455836e-35,0.07429196614040973,4.778172903309508e-21,16015
sensitivity_refusal,max_abs_ppl_delta,0.04118226602793475,1.8537409072536231e-07,0.09382467275418287,1.1995178906650949e-32,16015
sensitivity_refusal,mean_steered_ppl,0.027471206159522286,0.00050729145705406,0.03987965565632475,4.4552550025650426e-07,16015
sensitivity_refusal,baseline_ppl,0.03729862147608104,2.341930853743167e-06,0.023955712595360657,0.002430977438303259,16015
